Prerequisite,course_EFTSL,course_EFTSL_url,course_campus,course_career,course_code,course_credit,course_description,course_faculty,course_faculty_url,course_fee,course_fee_url,course_further_info,course_further_info_url,course_hours,course_outline,course_outline_url,course_school,course_school_url,course_title,course_url
only available to the Business School single and double degree students in semester 1. It will be offered to non Business School students in semester 2.,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT1501,6,"The compulsory core accounting unit will have a preparer perspective. It will provide an introduction to basic concepts in accounting and their application for decision making by a wide range of potential users (e.g., shareholders, investment analysts, lenders, managers etc). This unit should benefit students who wish to specialise in accounting, and will also be of value to students whose primary interest lies elsewhere in the field of business. ,On completion, students should have a clear understanding of the accounting process and the language of accounting to enable communication with an accounting professional, understand the relevance of accounting information for informed decision making by a wide range of potential users, and have the ability to analyse and interpret accounting information. Topics covered will include the accounting equation, general purpose financial reports, cash and accrual accounting, adjustments, internal control, financial statement analysis, and interpreting and preparing information for managers to use in planning, decision making and control.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT1501.html,3,ACCT1501 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Accounting and Financial Management 1A ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT1501.html
Prerequisite: ACCT2542 and FINS1613,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3610,6,"This course is about the analysis of financial information arising primarily from the financial reports of entities. Fundamental analysis techniques are examined in detail with particular emphasis on the application of these techniques in equity (share) valuation decisions. Some attention is also given to credit assessment and debt valuation decisions. The techniques are applied in cases and projects involving listed companies. Topics considered include fundamental ratio analysis using reported and ' off-balance sheet' information,an analysis of accrual accounting and cash flows, the analysis of profitability, growth and valuation generation in a firm, determining the quality of financial reports, forecasting earnings and cash flows, pro-forma analysis for strategy and planning, analysis of risk, and a comparison of alternative valuation models.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3610.html,3,ACCT3610 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Business Analysis and Valuation ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3610.html
Prerequisite: ACCT2542,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3601,6,"With the increasing globalisation of business and capital markets, there is a more extensive use of cross-border financial information.  This course considers the key issues in international financial reporting and analysis.  Topics include: the types of differences in national financial reporting practices; the reasons for the differences; the progress of the International Accounting Standards Board in reducing the diversity; foreign exchange risk and foreign currency accounting issues; reporting and disclosure in developed countries including the USA, Japan and the members of the European Union; the role of accounting in developing countries and Eastern Europe; financial reporting in emerging capital markets including those in the Asia-Pacific region; and analysis of country-specific financial statements in the cultural, business and legal context of each country.  Numerical examples and cases are used to highlight important concepts and issues.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3601.html,3,ACCT3601 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Global Financial Reporting and Analysis,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3601.html
Prerequisite: Must be enrolled in program 4501 (Accounting),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT4897,6,To assist BCom Hons students in completion of research project requirement. May consist of an examinable readings program defined to meet the needs of a particular student or a formal program undertaken by a group of students whose research projects are in a common area.,UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT4897.html,3,ACCT4897Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Seminar in Research Methodology,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT4897.html
Prerequisite: Must be enrolled in program 4501 (Accounting),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT4809,6,An examination of current areas of research in auditing and substantive studies in each area. The following topics will be considered: theory about auditing; overview of audit research; nature of audit work; agency theory and the existence of the audit function; human information processing in auditing; audit teams and the review process; experience and expertise; independence; audit fees and other service fees; effect of the audit report; and future development in audit theory and research.,UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT4809.html,3,ACCT4809 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Current Developments in Auditing Research ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT4809.html
Prerequisite: ACCT2542 or approval from the School,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3708,6,"This course examines the practice of auditing and the underlying concepts, auditors responsibilities and the audit environment. Although the focus of attention is on audits carried out under the provisions of the Corporations Law, reference is also made to other forms of audit. The course is intended to provide an overview of the audit process as it exists in Australia. Both CIS and computer-assisted audit techniques are an integral part of this course.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3708.html,3,ACCT3708 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Auditing and Assurance Services,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3708.html
"Prerequisite:MATH1151 AND (Enrolment in Program 3586, 3587, 3588, 3589, 3155, 3154 or 4737)",(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACTL1101,6,"This course provides an introduction to actuarial studies and the role of actuaries. It covers the basic principles underlying the actuarial analysis and management of insurance, superannuation and other financial contracts including introductory probability, statistics, financial mathematics and demography.  It introduces the role that actuaries play in the design and pricing of products and in risk management in the field of life insurance, general insurance and superannuation, banking and investment.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACTL1101.html,3,ACTL1101 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Risk and Actuarial Studies,https://www.business.unsw.edu.au/about/schools/risk-actuarial,Introduction to Actuarial Studies ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACTL1101.html
Prerequisite: Must be enrolled in program 4501 (Accounting),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT4794,24,Please contact the school for further information.,UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT4794.html,0,ACCT4794 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Thesis (Accounting) ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT4794.html
Prerequisite: Must be enrolled in program 4501 (Accounting),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT4851,6,"Review of alternative approaches to the development of theories in external reporting. Explication and evaluation of substantive theories and associated research studies. Examination of research findings related to the accounting and reporting environment, agency cost and financial contracting, the properties of reported accounting numbers, predictive value of accounting information, the use of information in capital markets, and the use of accounting reports by individual decision makers.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT4851.html,3,ACCT4851 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Current Developments in Accounting Research - Financial,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT4851.html
Prerequisite: Must be enrolled in program 4501 (Accounting),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT4852,6,"The aim of this course is to equip students with a comprehensive understanding of contemporary management accounting research, which emanates from different philosophical perspectives and employs different theories and research methods. Research is divided into two broad streams: work that seeks (a) to  explain and design , and (b) to  understand and interpret  the practice of management accounting in organisational societies. Topics covered include  design  approaches using behavioural decision theory, contingency theory, institutional theory, and others and interpretive approaches using symbolic interactionism and theories of culture. There is also brief coverage of national differences in management accounting practice and of critical analyses of the development and operation of management accounting systems.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT4852.html,3,ACCT4852 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Current Developments in Accounting Research - Managerial,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT4852.html
Prerequisite: ACCT2522,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3585,6,"The business world today operates on a global, networked, technology platform (the World Wide Web). The rapid implementation of networked technologies world wide has impacted national economies and transformed large and small organisations.,This course uses case studies of high performing e-businesses to facilitate discussion and understanding of the strategic, technological, operational and organisational changes required by organisations to remain competitive, as they confront the strategic opportunities and threats resulting from the global networked technologies.  ,The case studies analyse the emergence of new business models, including start up e-businesses, the transformation of traditional bricks and mortar companies into e-businesses and the creation of virtual global businesses with outsourced functions performed by a range of specialist companies. ,The course also studies the move to digitalised core processes across the value chain– the e-enabling of customer relations; the e-enabling of enterprise resource planning, financial and accounting processes and human resource processes; and the emergence of global, digitalised supply chains.  It reviews the financial opportunities the technologies provide to reduce costs, improve productivity and efficiency, and transform concepts of speed and flexibility.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3585.html,3,ACCT3585 Course Outline,http://www.asb.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,E-Business: Strategy and Processes ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3585.html
Prerequisite:ACCT2542,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3563,6,"This is the final course in financial accounting.  Building on the foundation laid in ACCT2542, it covers more advanced topics including accounting and analysis in respect of associates, joint ventures, foreign currency transactions, offshore operations, diversified operations and derivative financial instruments.  The course also covers topical issues related to the scope and quality of financial reports.  Examples of such topics from past years include environmental reporting, ethical reporting dilemmas, and the information that should be reported on cultural and heritage assets.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3563.html,2,ACCT3563 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Issues in Financial Reporting and Analysis ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3563.html
Prerequisite: ACCT2522,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3583,6,"This course is concerned with the ways in which tangible and intangible resources are combined and leveraged in order to deliver stakeholder value in contemporary organisations. The ways in which these resources are managed affect the ability of organisations to deliver value to various stakeholders, such as shareholders, customers, employees, suppliers, the community and the natural environment, both in the short and long-terms. A challenge for organisations is to achieve a balance between these different forms of stakeholder value in the present and the future. This course examines how advanced management accounting practices may constrain and enable processes of creating, managing and measuring stakeholder value. The course will draw upon a variety of readings and cases to explore these issues.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3583.html,3,ACCT3583 Course Outline,http://www.asb.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Management Accounting 2,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3583.html
Prerequisite: ACCT1511,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT2542,6,"This intermediate financial accounting course is intended for students who will be involved in the preparation or use of corporate financial reports whether as accountants, financial executives, auditors, financial analysts, actuaries or legal advisors. This course builds on the foundation laid in ACCT1501 and ACCT1511 and covers financial reporting on, and analysis of, more complex business transactions, events and structures.  Topics include, accounting for various types of equity investments such as subsidiaries, associates and joint ventures, tax effect accounting, disclosure issues and understanding the regulatory environment in which financial statements are prepared.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT2542.html,3,ACCT2542 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Corporate Financial Reporting and Analysis ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT2542.html
Prerequisite: ARCH1391 and ARCH1201,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARCH1392,6,"The focus of this studio design course is on developing a framework for architectural computing research via a critique of ‘collaboration’. Ideas of collaboration will be developed across the Arts, Music, Business, Science and Technology. Students will be required to design with respect to (and challenge) issues of ethics, professionalism, academic rigor, similarity/difference, sharing, communication and representation. Students will collaborate to ‘design’ research hypotheses, methodologies and experiments which they will put into effect individually. Peer review will engage and challenge traditional ‘academic’ and non traditional ‘populist’ points of view. This is a studio based design course.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARCH1392.html,4,Built Environment,http://www.be.unsw.edu.au,Architecture Program,http://www.be.unsw.edu.au/,Digital Collaboration Studio ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARCH1392.html
Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3303,12,"It is the third of three fully assessable Industry Training courses Co-op Scholars complete as part of their Bachelor of Commerce (Co-op) degree. It allows scholars to apply the fundamental principles of accounting and business management to accounting practices in their sponsoring organisation., Only available to Accounting, UNSW Business School Co-op Scholars.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3303.html,0,ACCT3303 Course Outline,https://www.business.unsw.edu.au/programs-courses/course-outlines,School of Accounting,http://www.accounting.unsw.edu.au/,Industry Placement 3 ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3303.html
Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ACCT3202,12,"This course provides scholars with a practical application of the fundamental principles of accounting in an industry environment., Only available to Accounting, UNSW Business School Co-op Scholars.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT3202.html,0,ACCT3202 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Industry Placement 2 ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ACCT3202.html
