url_content,url_img,url_info,url_li,url_right,web_info,web_url
"Book a Consultation with a student advisor for personalised advice and information.,Email: AustraliaAwards@unsw.edu.au,Email: Jan.Thomas@unsw.edu.au,See Emergency contacts, ,, ",,"General enquiries,International Student Advisors (ISA),Australia Awards,Manager, Student Development International,After hours emergencies","Student Development International,,Ground Floor, John Goodsell Building (F20), Kensington Campus, UNSW Australia, (Grid F20, PDF, 1MB), 9am - 4pm Monday to Friday, + 61 2 9385 4734, + 61 2 9385 6369, ",/international,Contact our office,https://student.unsw.edu.au/node/622
title,url_content,url_img,url_info,url_li,url_right,web_info,web_url
Contacts for International Students,"Book a Consultation with a student advisor for personalised advice and information.,Email: AustraliaAwards@unsw.edu.au,Email: Jan.Thomas@unsw.edu.au,See Emergency contacts, ,, ",,"General enquiries,International Student Advisors (ISA),Australia Awards,Manager, Student Development International,After hours emergencies","
,
,
,
,
,
,
,
,Student Development International,,Ground Floor, John Goodsell Building (F20), Kensington Campus, UNSW Australia, (Grid F20, PDF, 1MB), 9am - 4pm Monday to Friday, + 61 2 9385 4734, + 61 2 9385 6369, ",,Contact our office,https://student.unsw.edu.au/node/622
title,url_content,url_img,url_info,url_li,url_right,web_info,web_url
Book a Workshop with (SDI) Student Development for International Students,"Log in below to our booking system to attend one of our international student development workshops. If you've forgotten your password, see UNSW Identity Manager.,Note: If you are booking an appointment for the first time you will be prompted to register with the booking system and confirm your email address., ",,,"
,
,
,
,
,
,
,
",,Register for workshops,https://student.unsw.edu.au/iworkshop
Information for International Student Visa Holders about the UNSW3+ Calendar,"
    Published: 31 May 2018
  ,If you are an International student studying on a student visa you must satisfy certain conditions such as completing studies within the timeframes set out in your Confirmation of Enrolment (CoE). Under the current two semester calendar, you must enrol in 24 units of credit (four courses) per semester.,In 2019, under UNSW3+:,Please note international students who fail to meet their visa conditions, may have their visa cancelled.,A student visa allows you to work up to 40 hours per fortnight while your program is in session and unrestricted hours during the university break periods. It is important to note that you are not permitted to work until you have commenced your studies. No work limits apply if you are studying a Masters by research or Doctorate course in Australia.,In 2019, the academic calendar dates will change, and it is important that International students adhere to these new dates and working restrictions. You can see the 2019 academic calendar dates here.,There will be two Undergraduate admission intakes per year – Term 1 and Term 3.,Some faculties will offer Postgraduate admission in Term 2, but it will be based on demand.,The required units of credit to complete a degree at UNSW will not change under the UNSW3+ calendar, which means students can expect their estimated fees for their degree to remain accurate. Fees will continue to be charged based on enrolment in a given term, which will allow students to spread their course load across three terms instead of two.,International students are charged a Student Services and Amenities Fee (SSAF) in addition to their tuition fees, as stipulated on their letter of offer. It is expected the capped amount set by the Australian Government annually will be spread evenly across the 3+ term model.,From 2019, graduation ceremonies will happen three times per year, with less time to wait between completing your studies and attending your graduation ceremony., ",,"Full-time Study Load,Work,Admission Intakes,Tuition Fees,Student Services and Amenities Fee,Graduations","
,
,
,
,
,
,
,
,You must enrol in 48 units of credit (eight courses) over the three terms.,This means that in one term, you can complete a lighter study load of two courses.,It may be possible for you to complete nine courses per year (three courses per term) and complete your degree one term early. However, if you choose to fast track your degree, you must return home when you have completed your studies.",,Information about the UNSW3+ Calendar,https://student.unsw.edu.au/notices/international/unsw3
Support for Families,"Here you can find support information for families of international students. To fully appreciate the UNSW experience, we invite you to attend our social events, career sessions, exchange experiences and practice conversational English.,There's a lot to organise and information to take in so we've developed this guide to assist in understanding what it means to be a successful student at UNSW and how you can help your son, daughter, family member or partner to get the most out of their time at UNSW:,The Bringing Family Guide is provided as a guide to assist students who are planning to bring their families to Australia. It is designed to provide information, links and resources relating to accommodation, childcare, schooling and employment for partners.,We want your UNSW experience to be enriching for every member of your family. Come and join us at our social events. ,Orientation,These seminars are held during the International Student Briefing Day. No registration is required. For more information, email emily.ou@unsw.edu.au,To apply for the Language Exchange Program: Refer to https://student.unsw.edu.au/language-and-conversation-skills ,Student Development Social Activities: refer to  Workshops/ Events:  https://student.unsw.edu.au/international,To join the family group mailing list and for further information and assistance please contact international.student@unsw.edu.au ,ARC: Spouses of International students can contact Arc to check for Associate Membership eligibility to join clubs societies and participate in activities. http://www.arc.unsw.edu.au/",,,"
,
,
,
,
,
,
,
, ,: Tuesday 17 July 2018, 11am - 12.15pm, Ainsworth G01,: Tuesday 17 July 2018, 11am - 12.15pm, Ainsworth G02",,Support for families of students,https://student.unsw.edu.au/family
Planning Your Arrival,"Now that you're on your way to study at UNSW, there is a lot to think about before you arrive. Here you will find information and services available to you that will help make your transition easier. ,Student Development International (SDI) strongly recommends you arrive at least two weeks before university starts. This will allow time for you to organise yourself (accommodation, banking, enrolment) and to attend the International Student Briefing Day and Orientation week.,Student Development International (SDI) organises to pick you up from the airport when you arrive. You can book your pickup service here.,From the moment you arrive we want you to feel welcome. At the Student Development International (SDI) Welcome Centre you will be greeted by friendly students or staff and given helpful information about settling into UNSW and Australia.,Student Development International (SDI) run workshops to help you with the essentials of living and studying in a new country.,Student Development International (SDI) monitors under 18 years of age students with a CAAW agreement with UNSW. If you are an international student and under 18 years of age then you will need to consider further things when it comes to your accommodation and wellbeing. There are also some great FAQs for students and some FAQs for your parents or custodians.,The International Student Briefing Day is designed to introduce you to studying at UNSW and to provide you with a practical experience of attending lectures and learning in Australia.,It is highly recommended that all international students attend this one day briefing session.,UNSW Essentials is a series of online modules that have been created to assist your transition to UNSW. The modules cover everything you need to know about studying at UNSW, from planning your arrival, to managing your studies and preparing for exams. UNSW Essentials gives you the flexibility to access information when you need it. Complete the UNSW Essentials modules now.,If you have a disability and need some extra assistance, we have a range of support services that can help you. You can find out all the information you need to know about disability support before you leave home.,First year international students have the opportunity to gain valuable insight from a UNSW Alumni as part of the Alumni Host Program.,Our Student Development International (SDI) Cultural Mentors are available to answer questions about learning at UNSW or living in Sydney and can provide you with insight into Australian culture and customs.,We want you to have a great time while you're here. To ensure you remain safe and well during your time at UNSW the new Online Safety and Wellbeing Tutorial covers a lot of important information.,Every city around the world is different. Here you can get an understanding of what Sydney is like and the cost of living.,There are many housing and accommodation options for your time in Australia. In this section you can find out about short and long-term housing options.,Download our official UNSW app to help you get around campus and keep up-to-date with news and events. , ",,,"
,
,
,
,
,
,
,
",,Planning your arrival,https://student.unsw.edu.au/node/604
Campus Safety and Security,"We want your time at UNSW to be a rewarding and safe educational experience. But with tens of thousands of students on campus, looking after each and every individual can be tough. So we place a big emphasis on providing resources and services that help you do your bit and take responsibility for your own safety and wellbeing.,The online Safety and Wellbeing Tutorial covers a lot of important information and it's fun! You can access the tutorial here for:",,,"
,
,
,
,
,
,
,
",,safety and wellbeing,https://student.unsw.edu.au/node/96
Supporting Your Studies,"Student Life: Student Hub offer a number of support and development services for all students. From this page you can access information on support for international students.,For personalised advice and information please make an appointment with a Student Development International (SDI) International Student Advisor.,This resource has been developed to assist you to make the most out of meeting with your Faculty Academic Advisor or Support Coordinator. It includes sample questions.,Each International Student Advisor facilitated workshop will involve you in reflective and engaging activities designed to support skills development and get you back to GOOD standing.,Information sessions facilitated by International Student Advisors about the application process to reduce your study load and the criteria you need to meet.,Information and resources to assist International Higher Degree Research candidates make the most out of their experience in Australia.,The Student Development International lounge is a great place for you if you need a comfortable space for socialising or studying.,Here you can find information for supporters and families of international students.,Make sure you know how to stay safe on campus by doing the Safety Tutorial. You can also check out a number of our self-help resources., ",,,"
,
,
,
,
,
,
,
",,Supporting your studies,https://student.unsw.edu.au/node/639
Development Programs,"Student Life: Student Hub offer a number of support and development services for all students. From this page you can access information on support for international students.,For personalised advice and information please make an appointment with an International Student Advisor.,UNSW is committed to helping you enhance your global employability, and empowering you to succeed beyond the classroom and find employment, throughout and after university. Here you can find resources for international students.,Discover a series of workshops that will help you to understand the Australian culture or become a Cultural Mentor and use your knowledge and experience as a senior (local or international) student to help newly arrived international students adjust and feel at home in their new environment.,Open to all UNSW international students, Interchange is an active learning journey designed to help you find your inner entrepreneur and develop your professional skills, including communication, innovation and leadership.,If you would like to further develop your language and conversation skills we have a number of activities and programs to assist you. Discover the Language Exchange Program, English language classes and workshops, Discussion Group Team and more.,This program is an initiative to assist UNSW international students with English as a second language to further develop their communication skills in a professional setting and gain practical workplace experience to enhance their career opportunities., ",,,"
,
,
,
,
,
,
,
",,Development programs,https://student.unsw.edu.au/node/17534
Commencing Your Studies,"Once you are in Sydney, preparing for university is made easy by following these steps:",,,"
,
,
,
,
,
,
,
",,Commencing your studies,https://student.unsw.edu.au/node/614
International Student Advisors,Our Student Development International (SDI) International Student Advisors are always here to help you. We offer you free personalised advice and information about all aspects of your university life and on any matters related to your life as an international student.,,,"
,
,
,
,
,
,
,
,Getting accustomed to life at UNSW and the broader Australian community (e.g. home sickness, cultural, social and academic adjustment),Understanding student visa conditions,Enrolment changes (reducing study load, program leave, discontinuation ) and to understand how these impact on their student visa,Understanding UNSW policies and procedures,Advice about services available to them and where to get help,Problems within the faculty, supervisor or lecturer,Academic monitoring, academic progression, academic planning and goal setting,Advise on personal and family issues,Financial difficulties,Accommodation or work related problems,Incident response (emergencies, accidents, critical incidents, natural disasters),Australia Awards Students support,Under 18 years of age students well-being monitoring",,Make appointment with a student advisor,https://student.unsw.edu.au/consult
Completing Your Studies,"Student Development International holds several workshops for all international students who are due to complete their studies at the end of the teaching period. Workshops cover many topics to assist you with:,These workshops are free but places are limited! Register now!,Preparing for graduation and returning homeThis workshop includes graduation procedures, returning home, reverse culture shock and how to stay in touch with the UNSW community.Date: Tuesday 2 October, 1 pm - 2.30 pmVenue: Columbo Theatre A,Finding Work InternationallyLearn job search tips for approaching the job market overseas.Date: Wednesday 3 October, 12 pm - 1 pmVenue: CLB2,Finding Work in AustraliaLearn job search tips for approaching the job market in Australia.Date: Wednesday 3 October, 1 pm - 2 pmVenue: CLB2,Post Study Work Visa Rights & OptionsPresented by Acacia Immigration Australia.Date: Friday 5 October, 11.30 am – 1 pmVenue: CLB 1&3,Marketing your Cultural StrengthsIn this workshop, you will identify your cultural strengths and understand the importance of marketing and developing your own personal brand.Date: TBAVenue: TBA, For further information, email international.student@unsw.edu.au,You can invite your parents to Australia to attend your Graduation Ceremony. To do this, you need to write an invitation letter to your parents indicating you wish your parents to attend your Graduation Ceremony in Australia. You will need to demonstrate you have completed your degree and are graduating. You will need an Award Statement., ",,,"
,
,
,
,
,
,
,
,Understanding and marketing your cultural strengths,Employment in Australia and internationally,Returning home,Post study work rights and options in Australia, ",,Completing your study and preparing to leave,https://student.unsw.edu.au/node/645
News and Events,Log in to the workshop booking system to see a full listing of workshops for international students.,,,"
,
,
,
,
,
,
,
",,news and events,https://student.unsw.edu.au/node/776
