Program Title,Award Level,Code,Faculty,url
Accounting/Business Info Tech,Masters Degree (Coursework),8426,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8426.html
Actuarial Studies,Masters Degree (Coursework),8411,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8411.html
Actuarial Studies (Extension),Masters Degree (Coursework),8416,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8416.html
Advanced Flying,Graduate Diploma,5545,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5545.html
Applied Linguistics,Masters Degree (Coursework),8236,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8236.html
Applied Taxation,Masters Degree (Coursework),9260,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9260.html
Architecture,Masters Degree (Coursework),8143,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8143.html
Art,Graduate Certificate,7307,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7307.html
Art,Masters Degree (Coursework),9314,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9314.html
Art,Graduate Diploma,5307,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5307.html
Arts,Masters Degree (Coursework),8175,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8175.html
Arts (Research),Graduate Diploma,5275,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5275.html
Aviation (Flying),Graduate Diploma,5536,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5536.html
Aviation Management,Masters Degree (Coursework),8741,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8741.html
Aviation Management,Graduate Diploma,5741,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5741.html
Biomedical Engineering,Masters Degree (Coursework),8660,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8660.html
Built Environment,Graduate Certificate,7131,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7131.html
Business,Masters Degree (Coursework),8388,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8388.html
Business Administration,Masters Degree (Coursework),8350,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8350.html
Business Administration (Exec),Masters Degree (Coursework),8355,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8355.html
Business Administration (Specialised),Masters Degree (Coursework),8625,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8625.html
Business and Technology,Graduate Certificate,7333,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8616.html
Business and Technology,Masters Degree (Coursework),8616,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8616.html
Business and Technology,Graduate Diploma,5457,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5457.html
Business Law,Masters Degree (Coursework),9231,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9231.html
Business Law,Graduate Diploma,5231,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5231.html
Capability Management,Masters Degree (Coursework),8399,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8399.html
Change Management,Graduate Certificate,7315,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7315.html
City Analytics,Graduate Certificate,7451,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7451.html
City Analytics,Masters Degree (Coursework),8151,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8151.html
City Analytics,Graduate Diploma,5151,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5151.html
City Analytics (Extension),Masters Degree (Coursework),8152,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8152.html
City Planning,Masters Degree (Coursework),8148,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8148.html
City Planning,Graduate Diploma,5148,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5148.html
City Planning,Graduate Certificate,7148,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7148.html
Clinical Optometry,Masters Degree (Coursework),8095,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8095.html
