"Code","Contact_URL","Typical_Duration","Min_UOC_For_Award","Program_Description","Program_Structure"
"8426","https://www.business.unsw.edu.au/students/resources/student-centre","1.5 Years  ","72","The handbook provides you with information on the degree structure you would need to follow for the year you commence your study. If you are a prospective student researching your study options, please visit UNSW Business School website for more information.The Master of Accounting and Business Information Technology is designed for graduates, early and mid-career professionals wanting to extend their understanding of methods and tools for leveraging accounting and information systems to enhance business value and competitiveness.Graduates from the Master of Accounting and Business Information Technology gain the practical skills and knowledge to succeed in a range of careers, such as business analyst, forensic accountant, systems accountant, management accountant, systems analyst, system management specialist, database administrator and project manager.","Two Accounting Core Courses (12 UOC)ACCT5930 Financial Accounting (6 UOC)ACCT5996 Management Accounting and Busi (6 UOC)ANDTwo Information Systems Core Courses (12 UOC)INFS5885 e-Business (6 UOC)INFS5978 Accounting Information Systems (6 UOC)ANDEight Specialisation Courses (48 UOC)Students must study a minimum of three courses in each discipline. The Accounting courses are to be drawn from List A and List C. The Information Systems courses are to be drawn from List B and List C.At least one capstone (from List C) must be included.List A (Accounting)ACCT5907 Int'l Fin Statement Analysis (6 UOC)ACCT5908 Auditing and Assurance Ser. (6 UOC)ACCT5910 Business  Analysis & Valuation (6 UOC)ACCT5919 Business Risk Management (6 UOC)ACCT5920 Managing Intangible Resources (6 UOC)ACCT5925 Integrated Reporting (6 UOC)ACCT5931 Strategic Management Accountin (6 UOC)ACCT5942 Corporate Accounting & Regulat (6 UOC)ACCT5943 Advanced Financial Reporting (6 UOC)ACCT5949 Managing Agile Organisations (6 UOC)ACCT5955 Management  Control Systems (6 UOC)ACCT5961 Reporting for Climate Change (6 UOC)FINS5526 Inter. Corp. Governance (6 UOC)List B (Information Systems)INFS5604 Business Process Management (6 UOC)INFS5621 Enterprise Systems (6 UOC)INFS5700 Intro to Business Analytics (6 UOC)INFS5710 IT Infrastructure for Analytic (6 UOC)INFS5720 Business Analytics Methods (6 UOC)INFS5730 Social Media & Enterprise 2.0 (6 UOC)INFS5831 Business Analysis & Consulting (6 UOC)INFS5848 Proj, Portfolio & Program Mgt (6 UOC)INFS5905 IS Auditing and Assurance (6 UOC)INFS5907 Security&Ethics in Cyberspace (6 UOC)INFS5929 Managing IS / IT Risk (6 UOC)INFS5731 IS Strategy, Innovation & Agility (6 UOC)**INFS5732 Information Systems Operational Excellence (6 UOC)****Program Authority approval requiredList C (Compulsory Capstone)ACCT5914 Enterprise Strategy for Manage (6 UOC)AND/ORINFS5740 Business Systems Project (6 UOC)"
"8411","https://www.business.unsw.edu.au/students/resources/student-centre","1.5 Years  ","72","The handbook provides you with information on the degree structure you would need to follow for the year you commence your study. If you are a prospective student researching your study options, please visit UNSW Business School website for more information.The Master of Actuarial Studies is suitable if you have a strong background in actuarial studies, economics, mathematics or statistics.  The program will prepare you for an actuarial career.If you have completed an undergraduate degree in Actuarial Studies, the Master of Actuarial studies will allow you to complete courses equivalent to the Part I professional courses that you have yet to complete.  You can also complete the Part II courses of the Institute of Actuaries of Australia and includes optional courses to assist with later professional Fellowship examinations.  You can also broaden your actuarial training by including relevant courses in the Business School at postgraduate level in other disciplines through a selection of elective courses.The Master of Actuarial Studies allows you to obtain and develop the required competencies to enter an actuarial career and provides quantitative risk management training for entry into the financial services industry. The program covers the professional actuarial subjects and includes options in actuarial studies, quantitative risk management, and other related disciplines.","The Master of Actuarial Studies is a 1.5 year (full-time) or 3 year (part-time) degree program consisting of 12 courses (72 UOC): 4 core courses, plus 8 elective courses.Core coursesACTL5101 Prob.& Statis. for Actuaries (6 UOC)ACTL5102 Financial Mathematics (6 UOC)ACTL5108 Finance for Actuaries (6 UOC)ECON5103 Business Economics (6 UOC)Elective coursesChoose 8 elective actuarial courses from the following list:ACTL5002 Super & Retire Benefits (6 UOC)ACTL5004 Project Report - Act. Stud. (12 UOC)ACTL5100 Actuarial Theory & Pract. A (6 UOC)ACTL5103 Stochastic Model. for Act. (6 UOC)ACTL5104 Actuarial Statistics (6 UOC)ACTL5105 Life Insurance & Super. (6 UOC)ACTL5106 Insurance Risk Models (6 UOC)ACTL5109 Financial Economics (6 UOC)ACTL5110 Actuarial Data and Analysis (6 UOC)ACTL5200 Actuarial Theory & Practice B (6 UOC)ACTL5301 Models for Risk Management (6 UOC)ACTL5302 Risk and Capital Management (6 UOC)ACTL5303 Asset-Liability Management (6 UOC)ACTL5306 Retirement Saving and Spending (6 UOC)RISK5001 Fundamentals Risk & Risk Mgmt (6 UOC)RISK5002 Risk Tools (6 UOC)RISK5003 Risk Decisions (6 UOC)RISK5009 Risk Management Strategies (6 UOC)Note: You have the ability to choose a maximum of 4 non actuarial courses to complete the program. Enrolment into the courses, are subject to approval from the School of Risk & Actuarial and the disciplinary school offering the course.A list of approved courses (approved by the School of Risk and Actuarial Studies) is listed below.ECON5106 Economics of Finance (6 UOC)ECON5206 Financial Econometrics (6 UOC)ECON5248 Business Forecasting (6 UOC)ECON6003 Econometric Analysis (6 UOC)FINS5513 Investments & Portfolio Sel. (6 UOC)FINS5514 Capital Budgeting&Fin Decision (6 UOC)FINS5517 Applied Portfolio Mgt. & Model (6 UOC)FINS5530 Financial Institution Mgmt (6 UOC)FINS5535 Derivatives & Risk Mgt. Techs. (6 UOC)FINS5536 Fixed Income Sec. & Int. Rate (6 UOC)MATH5335 Comput'l Methods for Finance (6 UOC)MATH5806 Applied Regression Analysis (6 UOC)MATH5816 Continuous Time Fin'l Model'g (6 UOC)MATH5836 Data Mining (6 UOC)MATH5845 Time Series (6 UOC)MATH5905 Statistical Inference (6 UOC)MATH5916 Survival Analysis (6 UOC)MATH5965 Discrete Time Fin'l Modelling (6 UOC)MATH5975 Intro to Stochastic Analysis (6 UOC)MATH5985 Term Structure Modelling (6 UOC)RISK5007 Ope Risk Analysis and Mgmt (6 UOC)Recommended Study PlanThese are provided to illustrate the Master of Actuarial Studies program structure for sample candidates. It is important to realize that every student entering the Master of Actuarial Studies usually has a different background, has completed varying courses and usually will often require an individually recommended study programs. They should contact the Student Centre or the School of Risk and Actuarial Studies for advice if needed.8411 - Full time student - Semester 1 entry with no exemptions or advanced standing wishing to complete Part I of The Institute of Actuaries Professional Syllabus.Students with no actuarial background wishing to complete only Part I professional courses should enroll in 8411 Master of Actuarial Studies. If they wish to complete both Part I and Part II and also the Part III ERM courses then they should enroll in 8416 Master of Actuarial Studies (Extension).Students who have completed the Part I (at least 6 of the 8 CT courses) should enroll in 8411 Master of Actuarial Studies.                                        Semester 1                                Semester 2                                Semester 3                                                ACTL5101            ACTL5102            ECON5103*            ACTL5108*                                ACTL5103            ACTL5106            ACTL5109            ACTL5302 (or other elective)                                ACTL5104            ACTL5105            ACTL5301            ACTL5002 (or other elective)                              *Students with exemptions/credits from these core courses need only complete 3 courses in 2 of the semesters. They should include ACTL5002 Superannuation and Retirement Benefits (or other elective) in the first session of the program.8411 Part-Time student - completed Part I  - studying Part II Part III ERM module courses  (ACTL5301 and ACTL5302) and aiming to complete the 3 Modules of the Part III Fellowship of the Australian professional actuarial syllabus. Exemptions granted from the Core.                                        Semester 1                                Semester 2                                Semester 3                                Semester 4                                                             ACTL5100            ACTL5301                                ACTL5200            ACTL5302                                ACTL5002            Elective                                ACTL5303            RISK5009            (or other elective)                              "
"8416","https://www.business.unsw.edu.au/students/resources/student-centre","2 Years  ","96","The handbook provides you with information on the degree structure you would need to follow for the year you commence your study. If you are a prospective student researching your study options, please visit UNSW Business School website for more information.The Master of Actuarial (Extension) is suitable if you have a  strong background in actuarial studies, econometrics mathematics or statistics. You can study courses to prepare yourself for for an actuarial career. The Master of Actuarial Studies (Extension) lengthens the Master of Actuarial Studies degree program, allowing you to include an additional 4 courses (24UOC) from the more advanced postgraduate Actuarial Studies courses or to include course options from related disciplines within the Business School such as economics, finance, or statistics.If you have an undergraduate degree in Actuarial Studies, the Master of Actuarial Studies allows you to complete courses equivalent to the Part I professional courses that you have yet to complete. You can also complete the Part II courses of the Institute of Actuaries of Australia and include optional courses to assist you with the later professional Fellowship examinations. You can also broaden your actuarial training by including relevant courses in the Faculty at postgraduate level in other disciplines through selection of electives.Career Outcomes:The Master of Actuarial (Extension) allows you to obtain and develop the required competencies to enter an actuarial career and provides quantitative risk management training for entry into the financial services industry. The program covers the professional actuarial subjects and includes options in actuarial studies, quantitative risk management, and other related disciplines.","The Master of Actuarial Studies (Extension) program consists of 16 courses (96 UOC): 4 core courses and 12 electives selected from the courses offered in actuarial studies.The typical duration is 2 years full-time or 4 years part-time.Core coursesACTL5101 Prob.& Statis. for Actuaries (6 UOC)ACTL5102 Financial Mathematics (6 UOC)ACTL5108 Finance for Actuaries (6 UOC)ECON5103 Business Economics (6 UOC)Elective coursesChoose twelve elective courses from the following list:ACTL5002 Super & Retire Benefits (6 UOC)ACTL5004 Project Report - Act. Stud. (12 UOC)ACTL5100 Actuarial Theory & Pract. A (6 UOC)ACTL5103 Stochastic Model. for Act. (6 UOC)ACTL5104 Actuarial Statistics (6 UOC)ACTL5105 Life Insurance & Super. (6 UOC)ACTL5106 Insurance Risk Models (6 UOC)ACTL5109 Financial Economics (6 UOC)ACTL5110 Actuarial Data and Analysis (6 UOC)ACTL5200 Actuarial Theory & Practice B (6 UOC)ACTL5301 Models for Risk Management (6 UOC)ACTL5302 Risk and Capital Management (6 UOC)ACTL5303 Asset-Liability Management (6 UOC)ACTL5306 Retirement Saving and Spending (6 UOC)RISK5001 Fundamentals Risk & Risk Mgmt (6 UOC)RISK5002 Risk Tools (6 UOC)RISK5003 Risk Decisions (6 UOC)RISK5009 Risk Management Strategies (6 UOC)Note: Students have the ability to choose a maximum of 6 non actuarial (ACTL) courses to complete the program.  Enrolment into the courses, are subject to approval from the School of Risk & Actuarial and the disciplinary school offering the course.A list of approved courses (approved by the School of Risk and Actuarial Studies) is listed below.ECON5106 Economics of Finance (6 UOC)ECON5206 Financial Econometrics (6 UOC)ECON5248 Business Forecasting (6 UOC)ECON6003 Econometric Analysis (6 UOC)FINS5513 Investments & Portfolio Sel. (6 UOC)FINS5514 Capital Budgeting&Fin Decision (6 UOC)FINS5517 Applied Portfolio Mgt. & Model (6 UOC)FINS5530 Financial Institution Mgmt (6 UOC)FINS5535 Derivatives & Risk Mgt. Techs. (6 UOC)FINS5536 Fixed Income Sec. & Int. Rate (6 UOC)MATH5335 Comput'l Methods for Finance (6 UOC)MATH5806 Applied Regression Analysis (6 UOC)MATH5816 Continuous Time Fin'l Model'g (6 UOC)MATH5836 Data Mining (6 UOC)MATH5845 Time Series (6 UOC)MATH5905 Statistical Inference (6 UOC)MATH5916 Survival Analysis (6 UOC)MATH5965 Discrete Time Fin'l Modelling (6 UOC)MATH5975 Intro to Stochastic Analysis (6 UOC)MATH5985 Term Structure Modelling (6 UOC)Sample Program Recommended Study Plan                                        Semester 1                                Semester 2                                Semester 3                                Semester 4                                                             ACTL5101            ACTL5102            ECON5103*            ACTL5108*                                ACTL5103            ACTL5106            ACTL5109            ACTL5302 (or other elective)                                ACTL5100            ACTL5104            ACTL5301            ACTL5105                                ACTL5200            ACTL5303            ACTL5002            RISK5009 (or other elective)                                   *Students with exemptions/credits from these core courses need only complete 3 courses in 2 of the semesters. They should include ACTL5002 Superannuation and Retirement Benefits (or other elective) in the first session of the program."
"7359","http://www.be.unsw.edu.au/","0.5 Years  ","24","This is a new program that will commence in Semester 1 2018This program provides students with an opportunity to choose four courses from four related postgraduate Masters degrees in the Faculty of Built Environment: Master of Urban Policy and Strategy, Master of Urban Renewal and Housing, and Master of Sustainable Built Environment. Two courses from the Master of City Analytics are also available. The program is targeted towards mid-career urban policymakers and practitioners in government, industry and consultancy and who wish to advance their careers and deepen their knowledge of urban policy, housing, urban renewal or sustainable development. Students may choose a mix of policy and/or practice courses from any of the listed courses below. All the courses are taught in ‘intensive mode’ to suit students wishing to extend their learning alongside full time work. The program is accessible to interstate students due to the intensive mode of teaching – meaning that most classes are structured in 2-3 day blocks usually spanning Fridays and Saturdays. The program utilises a number of different teaching strategies including: studios, master classes, problem-based learning, case studies and field trips, consulting projects with clients, and evidence-based research (depending on course choices). The program comprises:Four Master of Urban Policy and Strategy - 8313 courses.  Drivers of Urban Change (MUPS0001) which looks at the big picture influences on our changing cites globally; Decision Making and Governance (MUPS0003) which examines the actors and arenas involved in making decisions and governing our cities; Development Economics and Finance (MUPS0004) looks at the foundations of the way the development industry operates; and Engaging Communities (PLAN7157) which explores the latest ways we work with and communicate with our communities.Four courses from the Urban Renewal and Housing - 8149 masters program. Urban Renewal (BENV7811) explores the policy and market drivers involved in the ongoing re-structuring of Australia's major cities. Implementing Urban Regeneration Projects (PLAN7321) focuses on regeneration practice at the project scale. Similarly, while Housing Policy and Finance (PLAN7156) approaches housing from a policy making perspective, this is complemented by Housing Management and Markets (PLAN7230) which focuses more on the operation of the housing system and the administration of rental and strata property.Three courses from the Master of Sustainable Built Environment - 8132 program in the selection of courses offered in this Graduate Certificate.  These include two MSBE core courses,  Building Ecology and Life Cycle Thinking (SUSD0002), and Energy in the Built Environment (SUSD0003), as well as an exciting new course Sustainable Infrastructure (SUSD0016). SUSD0003 incorporates the curriculum for the Green Star Accredited Professional (GSAP) examination, and SUSD0016 includes the curriculum for  the Infrastructure Sustainability Accredited Professional (ISAP) exam.'Two courses from the new Master of City Analytics - 8151 program. Digital Cities (BENV7504) explores the new ways big data is changing the way we examine and use our cities. GIS and Urban Informatics (BENV7728) will provide students skills in mapping and data analytics platforms and the insight into how these digital planning technologies can assist in evidenced based city planning.","To qualify for the Graduate Certificate of Advanced City Policy and Practice students will be required to complete a program of study totalling 24 UOC. Students must complete any four courses from the following selection:BENV7504 Digital Cities (6 UOC)BENV7728 GIS and Urban Informatics (6 UOC)BENV7811 Urban Renewal (6 UOC)MUPS0001 Drivers of Urban Change (6 UOC)MUPS0003 Decision Making and Governance (6 UOC)MUPS0005 Impact Assessment (6 UOC)PLAN7156 Housing Policy (6 UOC)PLAN7157 Engaging Communities (6 UOC)PLAN7320 Housing Management and Markets (6 UOC)PLAN7321 Implementing Regeneration (6 UOC)SUSD0002 Building Ecology (6 UOC)SUSD0003 Energy & the Built Environment (6 UOC)SUSD0016 Sustainable Infrastructure (6 UOC)"
"5545","http://www.aviation.unsw.edu.au/","1 Years  ","48","The Graduate Diploma in Advanced Flying is a program designed to meet the needs of graduates with an ambition toward a career as an airline pilot. This program provides the ground and simulator training which is required for pilots by airlines prior to type endorsement.  The core training includes the concepts and practices of Multi-Crew-Coordination, and training in Aeroplane Systems required for a pilot to operate an airline category aeroplane as a pilot. In addition to specific training as above, award of the Diploma will require satisfactory completion of four related aviation postgraduate theory courses.  The student also needs to understand core aspects of the theory of aviation safety, and this will be acquired through studying existing additional Aviation postgraduate courses.  This program aligns with the UNSW Postgraduate Coursework policy and AQF level 8.Note: The duration of this program depends on which pattern of attendance option is selected.  The patterns of attendance are listed below.","Compulsory CoursesStudents must complete 48 units of credit (UOC) comprised of the following compulsory courses:24 Units of Credit of Training Courses (compulsory)AVIF5915 Multi-Crew Coordination (12 UOC)AVIF5916 Aeroplane Systems (12 UOC)24 Units of Credit of Graduate level Aviation Courses, fromAVIA5015 Safety Management Systems (6 UOC)AVIA5018 Aviation Human Factors (6 UOC)AVIA5022 Aircraft Accident Invest. Tech (6 UOC)AVIA5024 Flight Deck Ops for Adv. Trans (6 UOC)AVIA5039 Airworthiness (6 UOC)AVIF5915 and AVIF5916 will be offered in both Semester 1 and Semester 2 and require attendance on campus. The four 6 UoC courses are undertaken by distance, and may be taken with part-time program enrolment.Sample ProgramsProgram flexibility with regard to the course offerings is important, as many students will be working once the core courses AVIF5915 and AVIF5916 are completed. Three sample programs are listed below. Contact the School Office for other program arrangements.Full time(a) Year 1: Semester 1 (AVIF5915, AVIA5039, AVIA5022), Semester 2 ( AVIF5916, AVIA5018, AVIA5024)Part time(b) Year 1: Semester 1 (AVIF5915, AVIF5916), Semester 2 (AVIA5015, AVIA5018) Year 2: Semester 1 (AVIA5024, AVIA5039)(c) Year 1: Semester 2 (AVIF5915, AVIF5015) Year 2: Semester 1 (AVIF5916, AVIA5022), Semester 2 (AVIA5018, AVIA5024)"
"8236","mailto:hal@unsw.edu.au","2 Years  ","96",,"The program in the Master of Applied Linguistics is structured as follows:1 year stream (A)Research Core Courses (24 UOC)Prescribed Electives (24 UOC)1.5 year stream (B)Research Core Courses (24 UOC)Disciplinary Courses (12 UOC)Prescribed Electives (36 UOC)2 year stream (C)Research Core Courses (24 UOC)Disciplinary Courses (24 UOC)Prescribed Electives (48 UOC)ARTS5503 Academic Writing for the Humanities (6 UOC)ARTS5505 Personalised English Language Enhancement (6 UOC)These courses, ARTS5503 and ARTS5505, can be taken as additional courses but will not count towards your program."
"9260","https://www.business.unsw.edu.au/students/resources/student-centre","1 Years  ","48"," This program will not be taking applications/enrolments from Semester 1, 2017. For further information email studybusiness@unsw.edu.au. Students commencing Semester 1 2015, please refer to the 2014 Handbook.Students commencing Semester 2 2015, please refer below.The Master of Applied Taxation is a program designed to meet the developmental requirements of professionals in private and government sectors in Australia and throughout the Asia-Pacific region. The Master of Applied Taxation, based on your prior knowledge, interests and career objectives, offers you the opportunity to focus on one of two specialisations:Applied TaxationApplied Taxation (Superannuation)","The Master of Applied Taxation consists of 8 courses (48 UOC) and is offered in two specialisations:Applied Taxation Specialisation:Core courses: Complete the Capstone Course:TABL5538 Tax Planning and Anti Avoidanc (6 UOC)Prescribed electives: Choose seven elective courses from the following courses:TABL5503 Taxation of Corporations (6 UOC)TABL5505 Taxation of Trusts (6 UOC)TABL5510 Taxation of Superannuation (6 UOC)TABL5515 Taxation of Capital Gains (6 UOC)TABL5520 Principles of Aust Intern'l Tx (6 UOC)TABL5523 Principles of GST Law (6 UOC)TABL5525 Tax of Employee Remuneration (6 UOC)TABL5575 Tax Policy (6 UOC)Superannuation Specialisation:Core courses: Complete the Capstone Course:TABL5538 Tax Planning and Anti Avoidanc (6 UOC)Core courses: Complete the following three core courses:TABL5510 Taxation of Superannuation (6 UOC)TABL5527 Tax Strategies in Fin Planning (6 UOC)TABL5540 SMSF Law (6 UOC)Prescribed elective: Complete four elective courses from the following courses:TABL5503 Taxation of Corporations (6 UOC)TABL5505 Taxation of Trusts (6 UOC)TABL5515 Taxation of Capital Gains (6 UOC)TABL5520 Principles of Aust Intern'l Tx (6 UOC)TABL5523 Principles of GST Law (6 UOC)TABL5525 Tax of Employee Remuneration (6 UOC)TABL5555 Tax of Property Transactions (6 UOC)TABL5575 Tax Policy (6 UOC)"
"8143","http://www.be.unsw.edu.au/","2 Years  ","96","The Master of Architecture degree provides professional education in the practice and theory of architecture. It requires full time attendance for two years. It is designed to deliver an architectural education appropriate to contemporary multidisciplinary professional practice.Building on the solid disciplinary foundation established by Bachelor of Architectural Studies in literacy and knowledge, as well as in comprehensive skills of architectural design, the  Master of Architecture provides an opportunity for students to pursue one of four specialisation streams. These are listed under the Program Structure section below.Pursuing a specialisation stream is optional,  students can elect to complete the program without a specialisation."," section below.Pursuing a specialisation stream is optional,  students can elect to complete the program without a specialisation.Program Objectives and Graduate AttributesThe Program provides students with advanced knowledge and techniques in architectural design and related technical and academic knowledge. It prepares students to work in architecture and other design-based industries, and to operate at a professional level in the practice of Architecture. It also allows students to tailor their studies towards specific interests through the large range of elective offerings they may take within the Faculty.Program StructureArchitecture and High Performance TechnologyArchitecture and HousingArchitecture and Urban ConditionsArchitecture and Social AgencyArchitecture (no specialisation)Admission RequirementsAdmission is available to students with a first degree from a nationally accredited undergraduate program (or equivalent) in Architecture, together with evidence of a capacity to consistently achieve grades at credit level or higher.Applicants from international universities are required to provide a portfolio of their design work. The portfolio must be in clear digital format. The portfolio must include sample works from various stages of their first degree and text should accompany all drawings/images to explain the projects. Professional work can be included, but the degree of responsibility for the work must be stated.The portfolio must demonstrate competence and skill in:Graphic communicationSite analysisArchitectural planningBuilding compositionIn addition, an awareness of contemporary issues and trends in architectural design should be evident.The different categories of eligible applicants and their specific admission requirements are outlined below:1.	65 credit average (or equivalent) in applicant’s undergraduate architecture degree OR2.	A UNSW 70 high credit WAM across the following courses:ARCH1311 Architectural Design Studio 5ARCH1361 Architectural Science and Building Environment 2ARCH1331 Architectural FabricationARCH1302 Architectural Design Studio 6ARCH1322 Architectural History and Theory 3Applicants who have completed their undergraduate degree at another institution will be assessed on the basis of the final year compulsory courses in their undergraduate architecture degree OR3.     Applicants who have completed the Bachelor of Architectural Studies (or equivalent) but do not meet the entry requirements specified under either 1 of 2 above may be considered after they have obtained work experience in an architectural office. Work experience will be individually assessed based on the following submission:A logbook record of a minimum 12 months full-time work or the equivalent.A referee report from the employerA portfolio of the work undertaken during this periodApplicants looking to commence studies in architecture should apply for the Bachelor of Architectural Studies (3261) program"
"7307","http://www.artdesign.unsw.edu.au/","0.5 Years  ","24","The Graduate Certificate in Art provides a interdisciplinary postgraduate experience in contemporary Fine Arts practices for those who wish to extend their professional qualifications with a shorter period of study and those wishing to broaden or change directions in their art practice.","Students who are approved to enter the GradCertArt requiring the completion of 24 UOC over 0.5 years full time or 1 year part time, must complete:ADAD9113 Communication Skills (6 UOC)SART9001 Studio Concepts and Practices (6 UOC)SAHT9138 Art in the 21st Century (6 UOC) or SAHT9204 Contemporary Creative Practices: Methods (6 UOC)One Art & Design postgraduate course (6 UOC)For the list of Art Studio courses, please see 9314 Master of Art."
"9314","http://www.artdesign.unsw.edu.au/","2 Years  ","96","The Master of Art is a postgraduate coursework program that provides a comprehensive interdisciplinary postgraduate experience in contemporary Fine Arts practices. The program is designed to provide a critically nurturing learning atmosphere in which experimentation and skills acquisition are encouraged. An innovative studio environment supports the development and growth of critically informed creative practices, developed in the context of contemporary ideas and alert to the continuing influence of historical precedent. The program allows students to develop a professional approach to researching, developing and fulfilling their creative aspirations, and to transition from student to self-aware practicing artist.The Master of Art has two main components: a core that addressed significant themes and practices in contemporary art and studio-based classes in key areas of practice. In the art core you will learn about the central and evolving concepts and practices of contemporary fine art studio practice, to help you situate yourself in a world marked by interdisciplinarity, new and innovative engagement with materials and methods, and the necessity of experimentation and innovation.   The studio-based courses enable you to either focus on a specific area of practice (see below), or to put together your own suite of courses.The program culminates in a major project and paper, which enables you to integrate your creative practice and develop as a creative arts professional.Studio courses are available in the following areas of practice:Planar Practices Studio - which engages with creative practices that are image based and exhibited primarily on the wall. It supports the developments of individual and collaborative practices in painting, drawing, printmaking and forms of photography that are experienced primarily as a still image and video as a wall based projection.Temporal and Spatial Studio - which facilitates creative practices where the artist, working alone or with others, creates works of art that are experienced in time and space. It supports creative practices such as video, animation, sculpture, installation, performance, audio and experimental approaches to image capture.Future Making Studio - which focuses on the making of objects, whether with new materials and digital technologies or traditional craftsmanship. It addresses the integration of technical knowledge and skills with material and contextual understanding. Future Making works with ceramics, jewellery, metal, textiles, furniture and lighting.As well, students may take studio courses from areas of practice offered in Program 9313 Master of Design.","The Master of Art is a 96 UOC [2 year FT] program, with options for students to complete either a 72 UOC [1.5 years FT] program, or a 48 UOC [1 year FT] program with advanced standing, depending on background of the entering student. Master of Art taken as a 96 UOC program [normally over 2 years full time or 4 years part time]Art CoreADAD9113 Communication Skills (6 UOC)ADAD9114 Research Foundations Art & Des (6 UOC)SART9001 Studio Concepts and Practices (6 UOC)SART9002 Process and Materiality (6 UOC)SART9003 The Consolidated Studio (6 UOC)SART9204 Capstone Project (12 UOC)SART9205 Project Paper (6 UOC)SAHT9138 Art in the 21st Century (6 UOC) or SAHT9204 Contemporary Creative Practices: Methods (6 UOC)SART9115 Fine Arts Professional Practice (6 UOC) or Art History / Theory course (6 UOC)Studio24 UOC from approved Studio areas of practiceElectives12 UOC from Art and Design postgraduate coursesMaster of Art taken as a 72 UOC program [normally over 1.5 years full time or 3 years part time]Art CoreADAD9114 Research Foundations Art & Des (6 UOC)SART9002 Process and Materiality (6 UOC)SART9003 The Consolidated Studio (6 UOC)SART9204 Capstone Project (12 UOC)SART9205 Project Paper (6 UOC)SART9115 Fine Arts Professional Practice (6 UOC) or Art History / Theory course (6 UOC)Studio24 UOC from approved Studio areas of practiceElectives6 UOC from Art and Design postgraduate coursesMaster of Art taken as a 48 UOC program [normally over 1 year full time or 2 years part time].Art CoreSART9003 The Consolidated Studio (6 UOC)SART9204 Capstone Project (12 UOC)SART9205 Project Paper (6 UOC)SART9115 Fine Arts Professional Practice (6 UOC) or Art History / Theory course (6 UOC)Studio18 UOC from approved Studio areas of practiceSample Program                             UNSW Program 9314 - Art                    UOC                                      Session 1            (Entry to 96 UOC program)                                SART9001 Studio Concepts & Practices (6)                    24                          ADAD9113 Communication Skills (6)                          SAHT9138 Art in the 21st Century (6) or SAHT9204 Creative Practices: Methods (6)                          Art & Design Elective (6)                                      Session 2            (Entry to 72 UOC program)                    SART9002 Process & Materiality (6)          24                          ADAD9114 Research Foundations in Art & Design (6)                          Area of Practice (6)                          Art & Design Elective (6)                                                Session 3            (Entry to 48 UOC program)                    SART9003 The Consolidated Studio (6)          24                          SART9115 Fine Arts Professional Practice (6) or Art History / Theory course (6)                                    Area of Practice (6)                          Area of Practice (6)                          Session 4          SART9204 Capstone Project (12)          24                          SART9205 Project Paper (6)                          Area of Practice (6)                          TOTAL: 96 UOC                    "
